item_name;item_category;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Midrise Apartment - Apartment - Light;NREL;0.07;0.07;0.07;0.07;0.19;0.39;0.44;0.39;0.17;0.12;0.12;0.12;0.12;0.12;0.12;0.21;0.44;0.62;0.83;0.99;1;0.69;0.38;0.16
Midrise Apartment - Office - Equipment;NREL;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.5;1;1;1;1;0.94;1;1;1;1;0.5;0.33;0.33;0.33;0.33;0.33;0.33
Midrise Apartment - Office - Light;NREL;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.9;0.9;0.9;0.9;0.8;0.9;0.9;0.9;0.9;0.18;0.18;0.18;0.18;0.18;0.18;0.18
Primary School - Building - Equipment;NREL;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.35;0.35;0.35;0.35;0.35;0.35;0.35
Primary School - Building - Light;NREL;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.18;0.18;0.18
Primary School - Building - HVAC;NREL;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
Primary School - Kitchen - Equipment;NREL;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.15;0.15;0.25;0.25;0.25;0.15;0.15;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Primary School - Kitchen - Walk in freezer;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.2;0.2;0.2
Primary School - Kitchen - Exhaust;NREL;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
Secondary School - Building - Equipment;NREL;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.35;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.35;0.35;0.35;0.35;0.35;0.35;0.35
Secondary School - Building - Light;NREL;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.18;0.18;0.18
Secondary School - Building - HVAC;NREL;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
Secondary School - Kitchen - Equipment;NREL;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.15;0.15;0.25;0.25;0.25;0.15;0.15;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Secondary School - Kitchen - Walk in freezer;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.2;0.2;0.2
Secondary School - Kitchen - Exhaust;NREL;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
Retail - Building - Equipment;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.7;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.8;0.8;0.7;0.4;0.2;0.2
Retail - Building - Light;NREL;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.2;0.5;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.6;0.6;0.5;0.2;0.05;0.05
Retail - Building - HVAC;NREL;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
Strip Mall - Building - Equipment;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.7;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.8;0.8;0.7;0.4;0.2;0.2
Strip Mall - Building - Light;NREL;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.2;0.5;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.6;0.6;0.5;0.2;0.05;0.05
Strip Mall - Building - HVAC;NREL;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
Supermarket - Building - Equipment;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.4;0.7;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.8;0.8;0.7;0.4;0.2;0.2
Supermarket - Building - Light;NREL;0.05;0.05;0.05;0.05;0.05;0.05;0.2;0.2;0.5;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.6;0.6;0.5;0.2;0.05;0.05
Supermarket - Building - Walk in freezer;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.2;0.2;0.2
Supermarket - Building - Mutideck Diary and Delicase;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.2;0.2;0.2
Supermarket - Building - Glass door frozen food;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.2;0.2;0.2
Supermarket - Building - Open well icecream display case;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.2;0.2;0.2
Supermarket - Building - HVAC;NREL;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
Full Service Restaurant - Building - Equipment;NREL;0.1;0.1;0.1;0.1;0.1;0.1;0.25;0.35;0.35;0.25;0.35;0.35;0.35;0.25;0.25;0.25;0.35;0.35;0.35;0.25;0.25;0.25;0.25;0.25
Full Service Restaurant - Building - Light;NREL;0.45;0.15;0.15;0.15;0.15;0.45;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
Full Service Restaurant - Building - HVAC;NREL;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Full Service Restaurant - Kitchen - Walk in freezer;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.2;0.2;0.2
Full Service Restaurant - Kitchen - Exhaust;NREL;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quick Service Restaurant - Building - Equipment;NREL;0.1;0.1;0.1;0.1;0.1;0.1;0.35;0.35;0.25;0.25;0.35;0.35;0.35;0.35;0.25;0.25;0.25;0.35;0.35;0.35;0.25;0.25;0.25;0.25
Quick Service Restaurant - Building - Light;NREL;0.45;0.15;0.15;0.15;0.15;0.45;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
Quick Service Restaurant - Building - HVAC;NREL;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quick Service Restaurant - Kitchen - Walk in freezer;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.2;0.2;0.2
Quick Service Restaurant - Kitchen - Exhaust;NREL;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Hospital - Building - Elevator;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.75;1;1;1;0.75;1;1;1;1;1;0.52;0.52;0.52;0.28;0.2;0.2
Hospital - Building - Light;NREL;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.5;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.1
Hospital - Building - HVAC;NREL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Hospital - Admin - Equipment;NREL;0.3;0.3;0.3;0.3;0.5;0.5;1;1;1;1;1;1;1;1;1;1;1;1;0.5;0.5;0.3;0.3;0.3;0.3
Hospital - Admin - Light;NREL;0.1;0.1;0.1;0.1;0.3;0.3;0.6;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.6;0.6;0.3;0.3;0.1;0.1
Hospital - Critical - Equipment;NREL;0.5;0.5;0.5;0.5;0.5;0.5;1;1;1;1;1;1;1;1;1;1;1;1;0.8;0.8;0.5;0.5;0.5;0.5
Hospital - Critical - Light;NREL;0.5;0.5;0.5;0.5;0.7;0.7;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.7;0.7;0.7;0.7;0.5;0.5
Hospital - Kitchen - Equipment;NREL;0.1;0.1;0.1;0.1;0.1;0.1;0.25;0.35;0.35;0.25;0.35;0.35;0.35;0.25;0.25;0.25;0.35;0.35;0.35;0.25;0.25;0.25;0.25;0.25
Hospital - Kitchen - Walk in freezer;NREL;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.2;0.2;0.2
Hospital - Kitchen - Exhaust;NREL;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Outpatient Health Care - Building - Elevator;NREL;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.5;0.75;1;1;1;0.75;1;1;1;1;1;0.52;0.52;0.52;0.28;0.05;0.05
