item_name;item_category;designation;conductor_material;insulation_material;conductor_cross_section;neutral_xsec;type_of_cable;x_ohm_per_km;c_nf_per_km;armour_material;armour_cross_section
2x150 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x150 A2XFY;Aluminium;XLPE/EPR;150;1;1ph;0.08;290;Steel;75
2x185 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x185 A2XFY;Aluminium;XLPE/EPR;185;1;1ph;0.08;290;Steel;82
2x240 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x240 A2XFY;Aluminium;XLPE/EPR;240;1;1ph;0.08;310;Steel;94
2x300 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x300 A2XFY;Aluminium;XLPE/EPR;300;1;1ph;0.08;330;Steel;101
2x16 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x16 A2XFY;Aluminium;XLPE/EPR;16;0;3ph;0.08;180;Steel;39
2x25 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x25 A2XFY;Aluminium;XLPE/EPR;25;0;3ph;0.08;200;Steel;44
2x35 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x35 A2XFY;Aluminium;XLPE/EPR;35;0;3ph;0.08;230;Steel;49
2x50 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x50 A2XFY;Aluminium;XLPE/EPR;50;0;3ph;0.08;240;Steel;56
2x70 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x70 A2XFY;Aluminium;XLPE/EPR;70;0;3ph;0.08;260;Steel;63
2x95 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x95 A2XFY;Aluminium;XLPE/EPR;95;0;3ph;0.08;290;Steel;71
2x120 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x120 A2XFY;Aluminium;XLPE/EPR;120;0;3ph;0.08;290;Steel;78
2x150 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x150 A2XFY;Aluminium;XLPE/EPR;150;0;3ph;0.08;290;Steel;95
2x185 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x185 A2XFY;Aluminium;XLPE/EPR;185;0;3ph;0.08;290;Steel;99
2x240 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x240 A2XFY;Aluminium;XLPE/EPR;240;0;3ph;0.08;310;Steel;111
2x300 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x300 A2XFY;Aluminium;XLPE/EPR;300;0;3ph;0.08;330;Steel;123
2x25 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x25 A2XFY;Aluminium;XLPE/EPR;25;0.64;3ph;0.08;200;Steel;49
2x35 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x35 A2XFY;Aluminium;XLPE/EPR;35;0.457;3ph;0.08;230;Steel;54
2x50 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x50 A2XFY;Aluminium;XLPE/EPR;50;0.5;3ph;0.08;240;Steel;61
2x70 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x70 A2XFY;Aluminium;XLPE/EPR;70;0.5;3ph;0.08;260;Steel;71
2x95 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x95 A2XFY;Aluminium;XLPE/EPR;95;0.526;3ph;0.08;290;Steel;78
2x120 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x120 A2XFY;Aluminium;XLPE/EPR;120;0.583;3ph;0.08;290;Steel;87
2x150 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x150 A2XFY;Aluminium;XLPE/EPR;150;0.467;3ph;0.08;290;Steel;97
2x185 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x185 A2XFY;Aluminium;XLPE/EPR;185;0.514;3ph;0.08;290;Steel;107
2x240 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x240 A2XFY;Aluminium;XLPE/EPR;240;0.5;3ph;0.08;310;Steel;121
2x300 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x300 A2XFY;Aluminium;XLPE/EPR;300;0.5;3ph;0.08;330;Steel;130
2x16 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x16 A2XFY;Aluminium;XLPE/EPR;16;1;3ph;0.08;180;Steel;41
2x25 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x25 A2XFY;Aluminium;XLPE/EPR;25;1;3ph;0.08;200;Steel;51
2x35 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x35 A2XFY;Aluminium;XLPE/EPR;35;1;3ph;0.08;230;Steel;59
2x50 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x50 A2XFY;Aluminium;XLPE/EPR;50;1;3ph;0.08;240;Steel;66
2x70 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x70 A2XFY;Aluminium;XLPE/EPR;70;1;3ph;0.08;260;Steel;76
2x95 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x95 A2XFY;Aluminium;XLPE/EPR;95;1;3ph;0.08;290;Steel;83
2x120 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x120 A2XFY;Aluminium;XLPE/EPR;120;1;3ph;0.08;290;Steel;92
2x150 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x150 A2XFY;Aluminium;XLPE/EPR;150;1;3ph;0.08;290;Steel;104
2x185 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x185 A2XFY;Aluminium;XLPE/EPR;185;1;3ph;0.08;290;Steel;116
2x240 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x240 A2XFY;Aluminium;XLPE/EPR;240;1;3ph;0.08;310;Steel;130
2x300 A2XFY;Aluminium XLPE Cables - Flat Strip Armoured;2x300 A2XFY;Aluminium;XLPE/EPR;300;1;3ph;0.08;330;Steel;144
