1.618749999999999911e+00,1.000000000000000000e+05,1.250000000000000222e+00,1.000000000000000000e+05
1.693750000000000089e+00,4.303177492115588393e+03,1.300000000000000266e+00,2.566657200454106714e+03
1.774999999999999911e+00,2.965947775708261815e+03,1.356250000000000178e+00,1.535437151434852240e+03
1.856249999999999956e+00,2.236598087004952504e+03,1.406250000000000222e+00,1.080969674637977732e+03
1.949999999999999956e+00,1.639277706439713029e+03,1.462500000000000133e+00,7.390780436440367112e+02
2.037500000000000089e+00,1.242917664942657666e+03,1.525000000000000133e+00,5.316422223608220747e+02
2.137500000000000178e+00,9.306785086793373694e+02,1.587500000000000133e+00,3.936035609815806424e+02
2.237499999999999822e+00,7.168839621876289812e+02,1.649999999999999911e+00,2.948090388755107938e+02
2.343750000000000000e+00,5.500916799396562737e+02,1.718750000000000000e+00,2.171941695023152477e+02
2.450000000000000178e+00,4.270919562124974505e+02,1.787500000000000089e+00,1.672115547554205079e+02
2.568750000000000089e+00,3.259727984483049568e+02,1.862500000000000044e+00,1.286426232254059698e+02
2.687500000000000000e+00,2.518518265929104984e+02,1.937500000000000000e+00,1.000000000000000000e+02
2.818750000000000089e+00,1.944634888159878301e+02,2.012500000000000178e+00,7.940082600566340432e+01
2.950000000000000178e+00,1.520249630518636650e+02,2.093750000000000000e+00,6.500843166036386833e+01
3.087499999999999911e+00,1.188191080383626570e+02,2.181249999999999911e+00,5.285968700222249339e+01
3.237499999999999822e+00,9.192494376030848002e+01,2.268749999999999822e+00,4.333249042164800358e+01
3.387500000000000178e+00,7.194972673451049161e+01,2.362499999999999822e+00,3.552151306758570115e+01
3.549999999999999822e+00,5.584045935238751213e+01,2.456249999999999822e+00,2.954464960070839652e+01
3.718750000000000000e+00,4.414033950752504154e+01,2.556249999999999911e+00,2.445853630300003800e+01
3.893749999999999822e+00,3.499017485654876225e+01,2.656250000000000000e+00,2.039534287787012445e+01
4.075000000000000178e+00,2.780514532462331445e+01,2.768749999999999822e+00,1.675884992402322737e+01
4.268749999999999822e+00,2.198948287841362870e+01,2.875000000000000000e+00,1.402230989707712894e+01
4.468750000000000000e+00,1.744852073419895788e+01,2.993749999999999911e+00,1.159697905749637137e+01
4.681250000000000355e+00,1.399631370273259989e+01,3.118749999999999911e+00,9.611361720215267468e+00
4.906250000000000000e+00,1.120890946352465001e+01,3.243749999999999911e+00,8.024731795988186533e+00
5.137500000000000178e+00,9.014416334763735605e+00,3.375000000000000000e+00,6.688726647238799394e+00
5.381249999999999645e+00,7.239370006477833464e+00,3.512500000000000178e+00,5.568306118893729284e+00
5.631249999999999645e+00,5.839855598430256478e+00,3.649999999999999911e+00,4.668318737544877806e+00
5.900000000000000355e+00,4.728083759553903143e+00,3.799999999999999822e+00,3.880251468344880994e+00
6.181250000000000355e+00,3.844726708501009949e+00,3.956249999999999822e+00,3.224898824760989768e+00
6.500000000000000000e+00,3.075270182922171358e+00,4.112499999999999822e+00,2.699509111619312396e+00
6.750000000000000000e+00,2.600701664619347486e+00,4.281250000000000000e+00,2.250654115756045570e+00
7.125000000000000000e+00,2.045534597390300746e+00,4.456249999999999822e+00,1.878648462668980779e+00
7.437500000000000000e+00,1.694071116923982157e+00,4.637500000000000178e+00,1.569508692770377412e+00
7.812500000000000000e+00,1.379317324328416694e+00,4.825000000000000178e+00,1.312614857110954381e+00
8.125000000000000000e+00,1.170816513665657865e+00,5.018749999999999822e+00,1.099082246294447618e+00
8.562500000000000000e+00,9.465282838144658539e-01,5.218750000000000000e+00,9.249370408520718456e-01
8.937500000000000000e+00,8.064374362558325293e-01,5.431250000000000355e+00,7.789340870508555392e-01
9.375000000000000000e+00,6.745464640740342910e-01,5.656250000000000000e+00,6.540594954188639898e-01
9.812500000000000000e+00,5.688414037712101745e-01,5.881249999999999645e+00,5.529607019261080225e-01
1.025000000000000000e+01,4.832811898737776612e-01,6.118750000000000355e+00,4.663225730552797432e-01
1.075000000000000000e+01,4.044873902483392403e-01,6.375000000000000000e+00,3.908326345842688121e-01
1.125000000000000000e+01,3.412909139356821164e-01,6.625000000000000000e+00,3.311928129448044600e-01
1.181250000000000000e+01,2.844093310424415377e-01,6.875000000000000000e+00,2.823806531504444162e-01
1.237500000000000000e+01,2.390271031263545287e-01,7.187500000000000000e+00,2.332037871243209659e-01
1.293750000000000000e+01,2.024449719309082130e-01,7.437500000000000000e+00,2.012877416878631198e-01
1.356250000000000000e+01,1.697233358301196704e-01,7.750000000000000000e+00,1.686068839088936400e-01
1.418750000000000000e+01,1.434254466928857052e-01,8.062500000000000000e+00,1.422247804411521932e-01
1.487500000000000000e+01,1.201794383076208311e-01,8.437500000000000000e+00,1.169463489413827412e-01
1.556250000000000000e+01,1.015090031128875886e-01,8.750000000000000000e+00,1.000000000000000056e-01
